datetimes,neighborhoods,titles,addresses,property_types,bedrooms,bathrooms,sqfts,prices,links
2020-08-21 10:24:00,Hotel Circle North/ Mission Valley/ Fashion Valley,BEAUTIFUL 1 bedroom home!,1440 Hotel Circle North,apartment,1.0,1.0,729.0,2055,https://sandiego.craigslist.org/csd/apa/d/beautiful-1-bedroom-home/7181624327.html
2020-08-21 10:24:00,"Vista, Ca","Good size backyard provide room for entertaining, Rent to own",,apartment,3.0,2.0,,780,https://sandiego.craigslist.org/csd/apa/d/vista-good-size-backyard-provide-room/7181613342.html
2020-08-21 10:24:00,Scripps Ranch,3x2 floor plan at Campus of Life,9889 Graduate Driveway near Chabad Center Drive,apartment,3.0,2.0,1366.0,2750,https://sandiego.craigslist.org/nsd/apa/d/san-diego-3x2-floor-plan-at-campus-of/7181599998.html
2020-08-21 10:24:00,Escondido,Welcome Home! 1 Bedroom 1 Bathroom Seniors 55+,1084 E. Washington Ave near Ash,apartment,1.0,1.0,641.0,1325,https://sandiego.craigslist.org/nsd/apa/d/escondido-welcome-home-1-bedroom-1/7168715910.html
2020-08-21 10:23:00,University City/ Utc Area,3 BEDROOM-2 1/2 BA-one block from UCSD bus,ARRIBA near CAMINO NOGUERA,condo,3.0,2.5,1500.0,3700,https://sandiego.craigslist.org/csd/apa/d/la-jolla-3-bedroom-ba-one-block-from/7171897595.html
2020-08-21 10:23:00,"Oceanside,Vista","TAKE ADVANTAGE NOW! $900* MOVE-IN CREDIT! DON'T MISS IT, TOUR NOW!",1904 College Blvd near Oceanside Boulevard,apartment,2.0,2.0,,1910,https://sandiego.craigslist.org/nsd/apa/d/oceanside-take-advantage-now-900-move/7181623312.html
2020-08-21 10:23:00,Downtown Oceanside Camp Pendleton,Newly Renovated Apartments & Move-in Dates to Fit Your Needs!,420 Activity Way,apartment,2.0,2.0,884.0,1888,https://sandiego.craigslist.org/nsd/apa/d/oceanside-newly-renovated-apartments/7173818130.html
2020-08-21 10:23:00,"Carmel Valley, San Diego, Del Mar, Torrey Hills",🕑🕑Time is ticking on this amazing deal! 5% off & 4 weeks free! 🕑🕑,11724 Carmel Creek Road,apartment,1.0,1.0,901.0,2030,https://sandiego.craigslist.org/csd/apa/d/san-diego-time-is-ticking-on-this/7181615249.html
2020-08-21 10:23:00,Banker'S Hill,Gated and Secured. Hardwood Floor. A/C. Pets,2365 First Ave near Kalmia,apartment,1.0,1.0,850.0,1750,https://sandiego.craigslist.org/csd/apa/d/san-diego-gated-and-secured-hardwood/7173268755.html
2020-08-21 10:22:00,La Mesa,Lake Murray Condo with a View!,5708 Baltimore Dr.,condo,2.0,1.0,750.0,1750,https://sandiego.craigslist.org/esd/apa/d/la-mesa-lake-murray-condo-with-view/7181622950.html
