datetimes,neighborhoods,titles,addresses,property_types,bedrooms,bathrooms,sqfts,prices,links
2020-08-21 13:44:00,Tempe,Easy living at San Portella!,South 55th Street,apartment,3.0,2.0,1311.0,1890,https://phoenix.craigslist.org/evl/apa/d/tempe-easy-living-at-san-portella/7181770995.html
2020-08-21 13:43:00,Phoenix,Resort style amenities!,19800 7th Street,apartment,2.0,1.0,707.0,1226,https://phoenix.craigslist.org/nph/apa/d/phoenix-resort-style-amenities/7181772309.html
2020-08-21 13:43:00,North Phoenix,740 Sq. Ft 2 Bedroom 1 Bath apartment available now at Biltmore!,11050 N Biltmore Dr. near 28th Ave and Peoria,apartment,2.0,1.0,740.0,830,https://phoenix.craigslist.org/nph/apa/d/phoenix-740-sq-ft-2-bedroom-1-bath/7181775712.html
2020-08-21 13:43:00,Peoria,Zen & Relaxation Here at Stadium Vue Townhomes,7677 W. Paradise Ln.,house,2.0,2.0,1248.0,1750,https://phoenix.craigslist.org/wvl/apa/d/peoria-zen-relaxation-here-at-stadium/7181770075.html
2020-08-21 13:42:00,Near Chandler Fashion Mall,You'll love our modern upgraded 707 SqFt 1 BD / 1 BA,1283 W Parklane Blvd,apartment,1.0,1.0,707.0,985,https://phoenix.craigslist.org/evl/apa/d/chandler-youll-love-our-modern-upgraded/7181774791.html
2020-08-21 13:41:00,Phoenix,Amazing 1x1 $945//ALL UTILITIES INCLUDED,,apartment,1.0,1.0,469.0,945,https://phoenix.craigslist.org/cph/apa/d/phoenix-amazing-1x1-945-all-utilities/7181774318.html
2020-08-21 13:40:00,Glendale,"Refrigerator, Spacious Walk-in Closets, Residents Events, Spa/Hot Tub",8450 N 67th Ave near 67th Ave and Northern,apartment,2.0,1.0,702.0,885,https://phoenix.craigslist.org/wvl/apa/d/glendale-refrigerator-spacious-walk-in/7181773105.html
2020-08-21 13:39:00,Gilbert,"Incredible Amenities , Bike Racks, Resident Lounge",130 W Guadalupe Road,apartment,1.0,1.0,856.0,1,https://phoenix.craigslist.org/evl/apa/d/gilbert-incredible-amenities-bike-racks/7181772958.html
2020-08-21 13:39:00,Tempe,Amazing 1 bed / 1 bath close to college campus! Check us out!,1100 E Lemon St near Terrace,apartment,1.0,1.0,627.0,1385,https://phoenix.craigslist.org/evl/apa/d/tempe-amazing-1-bed-1-bath-close-to/7165294373.html
2020-08-21 13:37:00,825 S Dobson Rd,😊🔥Great Apartment Like Living😊🔥,825 S DOBSON RD near 8TH AVE,apartment,1.0,1.0,395.0,269,https://phoenix.craigslist.org/evl/apa/d/mesa-great-apartment-like-living/7181736271.html
2020-08-21 13:37:00,Near Westgate City Center,"Enjoy all the modern conveniences, including washer/dryer",10847 W Olive Ave near 107th,apartment,2.0,2.0,965.0,1245,https://phoenix.craigslist.org/wvl/apa/d/peoria-enjoy-all-the-modern/7181770942.html
2020-08-21 13:35:00,Phoenix,"**RENOVATED 1BR 1BA, WASHER & DRYER INCLUDED!!",13421 N. 43rd AVE,apartment,1.0,1.0,767.0,1001,https://phoenix.craigslist.org/nph/apa/d/glendale-renovated-1br-1ba-washer-dryer/7181770261.html
2020-08-21 13:35:00,Phoenix,"Kick back and relax! You've just found a great 3 bed, 2 bath!",1550 E Thunderbird Rd near 15th Street and Thunderbird Rd,apartment,3.0,2.0,1201.0,1530,https://phoenix.craigslist.org/nph/apa/d/phoenix-kick-back-and-relax-youve-just/7181769689.html
2020-08-21 13:35:00,985 N. Granite Reef Road,Amazing 2x2.5 Townhouse Available Soon! Reserve Your New Home!,985 N. Granite Reef Road near Granite Reef/Roosevelt/McClintock,house,2.0,2.5,1140.0,1410,https://phoenix.craigslist.org/evl/apa/d/scottsdale-amazing-2x25-townhouse/7181769615.html
2020-08-21 13:32:00,"5750 N 59Th Ave, Glendale, Az, Us",We Got A 2 Bedroom 2 Bath For October! CALL US NOW!,5750 N 59th Ave,apartment,2.0,2.0,900.0,1168,https://phoenix.craigslist.org/wvl/apa/d/glendale-we-got-2-bedroom-2-bath-for/7180487748.html
2020-08-21 13:32:00,Scottsdale,GREAT SCOTTSDALE LOCATION - IMMEDIATE  MOVE IN!,e raintree dr,apartment,2.0,2.0,1006.0,1395,https://phoenix.craigslist.org/nph/apa/d/scottsdale-great-scottsdale-location/7180320228.html
2020-08-21 13:31:00,Mesa,The right place for you! Beautiful 2 bed / 1 bath - prime location!,2433 W Main St,apartment,2.0,1.0,838.0,1105,https://phoenix.craigslist.org/evl/apa/d/tempe-the-right-place-for-you-beautiful/7181767397.html
