datetimes,neighborhoods,titles,addresses,property_types,bedrooms,bathrooms,sqfts,prices,links
2020-08-19 09:17:00,Carlsbad,Wait List Open! Pre-Qualify Now 😎 !,2605 Jefferson Street,apartment,2.0,5.0,988.0,2395,https://sandiego.craigslist.org/nsd/apa/d/carlsbad-wait-list-open-pre-qualify-now/7180312156.html
2020-08-19 09:17:00,Clairemont,2 Bedroom 2 Bath Ready for move in! $99 Deposit,5550 Balboa Arms Drive,apartment,2.0,2.0,925.0,2025,https://sandiego.craigslist.org/nsd/apa/d/san-diego-2-bedroom-2-bath-ready-for/7180286574.html
2020-08-19 09:17:00,Little Italy,One Bedroom Little Italy Condo for Rent!,1501 Front Street near Cedar,apartment,1.0,1.0,781.0,2195,https://sandiego.craigslist.org/csd/apa/d/san-diego-one-bedroom-little-italy/7179027557.html
2020-08-19 09:17:00,3634 College Blvd,Pre Lease Now And Save $500 Off First Months Rent!,3634 College Blvd near Lake Bvld,apartment,1.0,1.0,960.0,1795,https://sandiego.craigslist.org/nsd/apa/d/oceanside-pre-lease-now-and-save-500/7180312066.html
2020-08-19 09:17:00,San Diego,Top Floor With A Gorgeous View Awaits You! Tour Today!,10411 Reserve Drive,apartment,1.0,1.0,692.0,2016,https://sandiego.craigslist.org/nsd/apa/d/san-diego-top-floor-with-gorgeous-view/7180311992.html
2020-08-19 09:17:00,City Heights,Come check it out.....Home for Rent 3 BD 2 Bath,,house,3.0,2.0,1216.0,2595,https://sandiego.craigslist.org/csd/apa/d/san-diego-come-check-it-outhome-for/7175728918.html
2020-08-19 09:16:00,La Mesa,Backyard and Direct Parking Access,7487 Mohawk Street near El Cajon Blvd.,apartment,1.0,1.0,770.0,1704,https://sandiego.craigslist.org/esd/apa/d/la-mesa-backyard-and-direct-parking/7180311173.html
2020-08-19 09:16:00,Vista,WOW! TAKE ADVANTAGE OF OUR FLEXIBLE LEASE TERMS FOR A SPACIOUS 2X2!,2144 University Drive,apartment,2.0,2.0,,1930,https://sandiego.craigslist.org/nsd/apa/d/wow-take-advantage-of-our-flexible/7180311184.html
2020-08-19 09:15:00,Talmadge,2ba Got Extended families?  Two separate units! One Price!,4818 Monroe Ave,apartment,3.0,2.0,,3400,https://sandiego.craigslist.org/csd/apa/d/san-diego-2ba-got-extended-families-two/7180311004.html
2020-08-19 09:15:00,Carlsbad Village,👀 Look At These Savings! Tour Today! $500 Off Move In!,935 Laguna Drive,apartment,1.0,1.0,750.0,1825,https://sandiego.craigslist.org/nsd/apa/d/carlsbad-look-at-these-savings-tour/7180310820.html
2020-08-19 09:15:00,Vista,APPLY FREE TODAY! THIS DEAL WON'T LAST LONG! CALL TODAY!,2144 University Drive,apartment,2.0,2.0,,1930,https://sandiego.craigslist.org/nsd/apa/d/apply-free-today-this-deal-wont-last/7180310514.html
2020-08-19 09:15:00,Mission Beach,Detached Home steps from the Beach,Ostend ct,house,2.0,1.0,700.0,1995,https://sandiego.craigslist.org/csd/apa/d/san-diego-detached-home-steps-from-the/7180310526.html
2020-08-19 09:14:00,East Chula Vista/Bonita/Rancho Del Rey,"Upgraded! Washer/Dryer, Central A/C, wood style flooring! Pet Friendly",601 Telegraph Canyon Road near Paseo Del Rey,apartment,2.0,1.0,952.0,1980,https://sandiego.craigslist.org/ssd/apa/d/chula-vista-upgraded-washer-dryer/7170752249.html
2020-08-19 09:14:00,"Vista,",Two Bedroom One Bath !,1110 Meadow Lake Drive,apartment,2.0,1.0,1000.0,1820,https://sandiego.craigslist.org/nsd/apa/d/vista-two-bedroom-one-bath/7180310228.html
2020-08-19 09:14:00,"La Mesa, Ca",Stay Organized w/a Walk-In Closet in This 1BR/1BA Apartment Ready 10/9,5575 Shasta Lane near Lake Murray Blvd.,apartment,1.0,1.0,700.0,1630,https://sandiego.craigslist.org/esd/apa/d/la-mesa-stay-organized-a-walk-in-closet/7180310018.html
2020-08-19 09:14:00,Vista,COZY AND BEAUTIFUL 1 BEDROOM!!,510 Townsite Dr (leasing Office) near E. Vista Way,apartment,1.0,1.0,650.0,1395,https://sandiego.craigslist.org/nsd/apa/d/vista-cozy-and-beautiful-1-bedroom/7180309512.html
